Time [s], Analyzer Name, Decoded Protocol Result
1.950246187500000,Async Serial,0xC8
1.950248437500000,Async Serial,0xE2
1.950250625000000,Async Serial,0x6F
1.950252875000000,Async Serial,0xBD
1.950255062500000,Async Serial,0xF6
1.950257312500000,Async Serial,0xBD
1.950259562500000,Async Serial,0xB5
1.950261750000000,Async Serial,0xBF
1.950264000000000,Async Serial,0xBE
1.950266187500000,Async Serial,0xF0
1.950268437500000,Async Serial,0x5A
1.950270625000000,Async Serial,0x3D
1.950272875000000,Async Serial,0x42
1.950275062500000,Async Serial,0xDB
1.950277312500000,Async Serial,0xDD
1.950279562500000,Async Serial,0x4A
1.950281750000000,Async Serial,0xBF
1.950284000000000,Async Serial,0xC0
1.950373625000000,Async Serial,0x20
1.950375875000000,Async Serial,0x98
1.950378062500000,Async Serial,0x28
1.950380312500000,Async Serial,0x00
1.950382500000000,Async Serial,0x3E
1.950384750000000,Async Serial,0xC3
1.950386937500000,Async Serial,0x2E
1.950389187500000,Async Serial,0x39
1.950391375000000,Async Serial,0x98
1.950393625000000,Async Serial,0x66
1.950395875000000,Async Serial,0x4B
1.950398062500000,Async Serial,0x40
1.950400312500000,Async Serial,0x90
1.950402500000000,Async Serial,0xD0
1.950404750000000,Async Serial,0x80
1.950406937500000,Async Serial,0x40
1.950409187500000,Async Serial,0x33
1.950411437500000,Async Serial,0x4A
1.950413625000000,Async Serial,0xBB
1.950415875000000,Async Serial,0xBD
1.950418062500000,Async Serial,0x5A
1.950420312500000,Async Serial,0xC9
1.950422500000000,Async Serial,0xE8
1.950424750000000,Async Serial,0xBF
1.950426937500000,Async Serial,0xD0
1.950429187500000,Async Serial,0x6F
1.950431437500000,Async Serial,0x9A
1.950433625000000,Async Serial,0x3D
1.950435875000000,Async Serial,0x94
1.950438062500000,Async Serial,0xDB
1.950440312500000,Async Serial,0xDD
1.950442500000000,Async Serial,0x51
1.950444750000000,Async Serial,0xBF
1.950446937500000,Async Serial,0xC0
1.950539437500000,Async Serial,0xC6
1.950541625000000,Async Serial,0x98
1.950543875000000,Async Serial,0x28
1.950546062500000,Async Serial,0x00
1.950548312500000,Async Serial,0x3E
1.950550500000000,Async Serial,0xC3
1.950552750000000,Async Serial,0x2E
1.950555000000000,Async Serial,0x39
1.950557187500000,Async Serial,0x98
1.950559437500000,Async Serial,0x66
1.950561625000000,Async Serial,0x4B
1.950563875000000,Async Serial,0x40
1.950566062500000,Async Serial,0x00
1.950568312500000,Async Serial,0x00
1.950570500000000,Async Serial,0x00
1.950572750000000,Async Serial,0x00
1.950575000000000,Async Serial,0x9F
1.950577187500000,Async Serial,0xA7
1.950579437500000,Async Serial,0xEC
1.950581625000000,Async Serial,0x3B
1.950583875000000,Async Serial,0x5F
1.950586062500000,Async Serial,0xEA
1.950588312500000,Async Serial,0x0D
1.950590500000000,Async Serial,0xDB
1.950592750000000,Async Serial,0xDC
1.950595000000000,Async Serial,0x58
1.950597187500000,Async Serial,0x70
1.950599437500000,Async Serial,0x8D
1.950601625000000,Async Serial,0x3D
1.950603875000000,Async Serial,0x87
1.950606062500000,Async Serial,0xA6
1.950608312500000,Async Serial,0x52
1.950610500000000,Async Serial,0xBF
1.950612750000000,Async Serial,0xC0
1.950705250000000,Async Serial,0x6B
1.950707437500000,Async Serial,0x99
1.950709687500000,Async Serial,0x28
1.950711875000000,Async Serial,0x00
1.950714125000000,Async Serial,0x3E
1.950716312500000,Async Serial,0xC3
1.950718562500000,Async Serial,0x2E
1.950720812500000,Async Serial,0x39
1.950723000000000,Async Serial,0x9C
1.950725250000000,Async Serial,0x5B
1.950727437500000,Async Serial,0x4B
1.950729687500000,Async Serial,0x40
1.950731875000000,Async Serial,0x90
1.950734125000000,Async Serial,0xD0
1.950736312500000,Async Serial,0x80
1.950738562500000,Async Serial,0xDB
1.950740812500000,Async Serial,0xDC
1.950743000000000,Async Serial,0x3D
1.950745250000000,Async Serial,0x7B
1.950747437500000,Async Serial,0x51
1.950749687500000,Async Serial,0x3E
1.950751875000000,Async Serial,0x63
1.950754125000000,Async Serial,0x15
1.950756375000000,Async Serial,0x2B
1.950758562500000,Async Serial,0xDB
1.950760812500000,Async Serial,0xDC
1.950763000000000,Async Serial,0xCF
1.950765250000000,Async Serial,0xC6
1.950767437500000,Async Serial,0xFB
1.950769687500000,Async Serial,0x3C
1.950771875000000,Async Serial,0x7E
1.950774125000000,Async Serial,0x06
1.950776375000000,Async Serial,0x49
1.950778562500000,Async Serial,0xBF
1.950780812500000,Async Serial,0xC0
1.950866625000000,Async Serial,0x0D
1.950868875000000,Async Serial,0x9A
1.950871062500000,Async Serial,0x28
1.950873312500000,Async Serial,0x00
1.950875500000000,Async Serial,0x3E
1.950877750000000,Async Serial,0xC3
1.950879937500000,Async Serial,0x2E
1.950882187500000,Async Serial,0x39
1.950884437500000,Async Serial,0x9C
1.950886625000000,Async Serial,0x5B
1.950888875000000,Async Serial,0x4B
1.950891062500000,Async Serial,0x40
1.950893312500000,Async Serial,0x00
1.950895500000000,Async Serial,0x00
1.950897750000000,Async Serial,0x00
1.950899937500000,Async Serial,0x00
1.950902187500000,Async Serial,0xE9
1.950904437500000,Async Serial,0x28
1.950906625000000,Async Serial,0x73
1.950908875000000,Async Serial,0x3E
1.950911062500000,Async Serial,0xB7
1.950913312500000,Async Serial,0xBA
1.950915500000000,Async Serial,0x2E
1.950917750000000,Async Serial,0xDB
1.950919937500000,Async Serial,0xDC
1.950922187500000,Async Serial,0x5C
1.950924437500000,Async Serial,0x69
1.950926625000000,Async Serial,0x79
1.950928875000000,Async Serial,0x3C
1.950931062500000,Async Serial,0xAD
1.950933312500000,Async Serial,0x4A
1.950935500000000,Async Serial,0x4E
1.950937750000000,Async Serial,0xBF
1.950939937500000,Async Serial,0xC0
1.951029187500000,Async Serial,0xAF
1.951031375000000,Async Serial,0x9A
1.951033625000000,Async Serial,0x28
1.951035812500000,Async Serial,0x00
1.951038062500000,Async Serial,0x3E
1.951040250000000,Async Serial,0xC3
1.951042500000000,Async Serial,0x2E
1.951044750000000,Async Serial,0x39
1.951046937500000,Async Serial,0x9C
1.951049187500000,Async Serial,0x5B
1.951051375000000,Async Serial,0x4B
1.951053625000000,Async Serial,0x40
1.951055812500000,Async Serial,0x00
1.951058062500000,Async Serial,0x00
1.951060250000000,Async Serial,0x00
1.951062500000000,Async Serial,0x00
1.951064750000000,Async Serial,0xD4
1.951066937500000,Async Serial,0x4D
1.951069187500000,Async Serial,0xD2
1.951071375000000,Async Serial,0xBC
1.951073625000000,Async Serial,0x4B
1.951075812500000,Async Serial,0x50
1.951078062500000,Async Serial,0x3D
1.951080250000000,Async Serial,0xDB
1.951082500000000,Async Serial,0xDC
1.951084750000000,Async Serial,0x0F
1.951086937500000,Async Serial,0x3D
1.951089187500000,Async Serial,0x87
1.951091375000000,Async Serial,0x3D
1.951093625000000,Async Serial,0xDB
1.951095812500000,Async Serial,0xDD
1.951098062500000,Async Serial,0x13
1.951100250000000,Async Serial,0x48
1.951102500000000,Async Serial,0xBF
1.951104750000000,Async Serial,0xC0
1.951201937500000,Async Serial,0x5C
1.951204187500000,Async Serial,0x9B
1.951206375000000,Async Serial,0x28
1.951208625000000,Async Serial,0x00
1.951210812500000,Async Serial,0x3E
1.951213062500000,Async Serial,0xC3
1.951215312500000,Async Serial,0x2E
1.951217500000000,Async Serial,0x39
1.951219750000000,Async Serial,0x98
1.951221937500000,Async Serial,0x66
1.951224187500000,Async Serial,0x4B
1.951226375000000,Async Serial,0x40
1.951228625000000,Async Serial,0x90
1.951230875000000,Async Serial,0xD0
1.951233062500000,Async Serial,0x80
1.951235312500000,Async Serial,0x40
1.951237500000000,Async Serial,0xCD
1.951239750000000,Async Serial,0x42
1.951241937500000,Async Serial,0x9B
1.951244187500000,Async Serial,0x3E
1.951246375000000,Async Serial,0x15
1.951248625000000,Async Serial,0x9B
1.951250875000000,Async Serial,0x44
1.951253062500000,Async Serial,0xDB
1.951255312500000,Async Serial,0xDC
1.951257500000000,Async Serial,0x4A
1.951259750000000,Async Serial,0x85
1.951261937500000,Async Serial,0xC8
1.951264187500000,Async Serial,0x3A
1.951266375000000,Async Serial,0xD0
1.951268625000000,Async Serial,0x25
1.951270875000000,Async Serial,0x43
1.951273062500000,Async Serial,0xBF
1.951275312500000,Async Serial,0xC0
1.951362375000000,Async Serial,0xFD
1.951364625000000,Async Serial,0x9B
1.951366812500000,Async Serial,0x28
1.951369062500000,Async Serial,0x00
1.951371250000000,Async Serial,0x3E
1.951373500000000,Async Serial,0xC3
1.951375687500000,Async Serial,0x2E
1.951377937500000,Async Serial,0x39
1.951380187500000,Async Serial,0x94
1.951382375000000,Async Serial,0x7C
1.951384625000000,Async Serial,0x4B
1.951386812500000,Async Serial,0x40
1.951389062500000,Async Serial,0x90
1.951391250000000,Async Serial,0xD0
1.951393500000000,Async Serial,0x00
1.951395687500000,Async Serial,0x41
1.951397937500000,Async Serial,0xD3
1.951400187500000,Async Serial,0x83
1.951402375000000,Async Serial,0x95
1.951404625000000,Async Serial,0x3D
1.951406812500000,Async Serial,0x9E
1.951409062500000,Async Serial,0xF5
1.951411250000000,Async Serial,0x40
1.951413500000000,Async Serial,0xDB
1.951415687500000,Async Serial,0xDC
1.951417937500000,Async Serial,0x9E
1.951420187500000,Async Serial,0xFC
1.951422375000000,Async Serial,0x27
1.951424625000000,Async Serial,0x3D
1.951426812500000,Async Serial,0x04
1.951429062500000,Async Serial,0x6A
1.951431250000000,Async Serial,0x44
1.951433500000000,Async Serial,0xBF
1.951435687500000,Async Serial,0xC0
1.951535250000000,Async Serial,0xAA
1.951537437500000,Async Serial,0x9C
1.951539687500000,Async Serial,0x28
1.951541875000000,Async Serial,0x00
1.951544125000000,Async Serial,0x3E
1.951546312500000,Async Serial,0xC3
1.951548562500000,Async Serial,0x2E
1.951550812500000,Async Serial,0x39
1.951553000000000,Async Serial,0x94
1.951555250000000,Async Serial,0xA8
1.951557437500000,Async Serial,0x4B
1.951559687500000,Async Serial,0x40
1.951561875000000,Async Serial,0x12
1.951564125000000,Async Serial,0xE5
1.951566312500000,Async Serial,0x80
1.951568562500000,Async Serial,0x41
1.951570812500000,Async Serial,0x99
1.951573000000000,Async Serial,0xD8
1.951575250000000,Async Serial,0x6F
1.951577437500000,Async Serial,0xBD
1.951579687500000,Async Serial,0xD4
1.951581875000000,Async Serial,0xAA
1.951584125000000,Async Serial,0x39
1.951586312500000,Async Serial,0xDB
1.951588562500000,Async Serial,0xDC
1.951590812500000,Async Serial,0x29
1.951593000000000,Async Serial,0xEA
1.951595250000000,Async Serial,0xA0
1.951597437500000,Async Serial,0x3D
1.951599687500000,Async Serial,0x71
1.951601875000000,Async Serial,0xD9
1.951604125000000,Async Serial,0x47
1.951606312500000,Async Serial,0xBF
1.951608562500000,Async Serial,0xC0
1.951695687500000,Async Serial,0x4A
1.951697875000000,Async Serial,0x9D
1.951700125000000,Async Serial,0x28
1.951702375000000,Async Serial,0x00
1.951704562500000,Async Serial,0x3E
1.951706812500000,Async Serial,0xC3
1.951709000000000,Async Serial,0x2E
1.951711250000000,Async Serial,0x39
1.951713437500000,Async Serial,0x8C
1.951715687500000,Async Serial,0xC9
1.951717875000000,Async Serial,0x4B
1.951720125000000,Async Serial,0x40
1.951722375000000,Async Serial,0xD8
1.951724562500000,Async Serial,0x38
1.951726812500000,Async Serial,0x41
1.951729000000000,Async Serial,0x41
1.951731250000000,Async Serial,0x4B
1.951733437500000,Async Serial,0x1D
1.951735687500000,Async Serial,0x0E
1.951737875000000,Async Serial,0x3E
1.951740125000000,Async Serial,0x0A
1.951742375000000,Async Serial,0x60
1.951744562500000,Async Serial,0x32
1.951746812500000,Async Serial,0xDB
1.951749000000000,Async Serial,0xDC
1.951751250000000,Async Serial,0x40
1.951753437500000,Async Serial,0xE7
1.951755687500000,Async Serial,0x4A
1.951757875000000,Async Serial,0x3D
1.951760125000000,Async Serial,0x34
1.951762375000000,Async Serial,0xEB
1.951764562500000,Async Serial,0x4A
1.951766812500000,Async Serial,0xBF
1.951769000000000,Async Serial,0xC0
1.951872937500000,Async Serial,0xFB
1.951875187500000,Async Serial,0x9D
1.951877375000000,Async Serial,0x28
1.951879625000000,Async Serial,0x00
1.951881812500000,Async Serial,0x3E
1.951884062500000,Async Serial,0xC3
1.951886250000000,Async Serial,0x2E
1.951888500000000,Async Serial,0x39
1.951890687500000,Async Serial,0x8C
1.951892937500000,Async Serial,0xD4
1.951895187500000,Async Serial,0x4B
1.951897375000000,Async Serial,0x40
1.951899625000000,Async Serial,0x90
1.951901812500000,Async Serial,0xD0
1.951904062500000,Async Serial,0x80
1.951906250000000,Async Serial,0x40
1.951908500000000,Async Serial,0x92
1.951910750000000,Async Serial,0x1E
1.951912937500000,Async Serial,0x0E
1.951915187500000,Async Serial,0x3E
1.951917375000000,Async Serial,0xD4
1.951919625000000,Async Serial,0xAA
1.951921812500000,Async Serial,0x39
1.951924062500000,Async Serial,0xDB
1.951926250000000,Async Serial,0xDC
1.951928500000000,Async Serial,0xE4
1.951930750000000,Async Serial,0x49
1.951932937500000,Async Serial,0x44
1.951935187500000,Async Serial,0x3D
1.951937375000000,Async Serial,0xCE
1.951939625000000,Async Serial,0xB1
1.951941812500000,Async Serial,0x3E
1.951944062500000,Async Serial,0xBF
1.951946250000000,Async Serial,0xC0
1.952039125000000,Async Serial,0xA1
1.952041312500000,Async Serial,0x9E
1.952043562500000,Async Serial,0x28
1.952045812500000,Async Serial,0x00
1.952048000000000,Async Serial,0x3E
1.952050250000000,Async Serial,0xC3
1.952052437500000,Async Serial,0x2E
1.952054687500000,Async Serial,0x39
1.952056875000000,Async Serial,0x88
1.952059125000000,Async Serial,0xDF
1.952061312500000,Async Serial,0x4B
1.952063562500000,Async Serial,0x40
1.952065812500000,Async Serial,0x90
1.952068000000000,Async Serial,0xD0
1.952070250000000,Async Serial,0x80
1.952072437500000,Async Serial,0x40
1.952074687500000,Async Serial,0x33
1.952076875000000,Async Serial,0xDF
1.952079125000000,Async Serial,0xD8
1.952081312500000,Async Serial,0x3D
1.952083562500000,Async Serial,0xB7
1.952085812500000,Async Serial,0xBA
1.952088000000000,Async Serial,0x2E
1.952090250000000,Async Serial,0xDB
1.952092437500000,Async Serial,0xDC
1.952094687500000,Async Serial,0xCD
1.952096875000000,Async Serial,0x9C
1.952099125000000,Async Serial,0x5A
1.952101312500000,Async Serial,0x3D
1.952103562500000,Async Serial,0xFF
1.952105812500000,Async Serial,0xCB
1.952108000000000,Async Serial,0x3C
1.952110250000000,Async Serial,0xBF
1.952112437500000,Async Serial,0xC0
1.952204437500000,Async Serial,0x47
1.952206625000000,Async Serial,0x9F
1.952208875000000,Async Serial,0x28
1.952211125000000,Async Serial,0x00
1.952213312500000,Async Serial,0x3E
1.952215562500000,Async Serial,0xC3
1.952217750000000,Async Serial,0x2E
1.952220000000000,Async Serial,0x39
1.952222187500000,Async Serial,0x84
1.952224437500000,Async Serial,0x16
1.952226625000000,Async Serial,0x4C
1.952228875000000,Async Serial,0x40
1.952231125000000,Async Serial,0x36
1.952233312500000,Async Serial,0x19
1.952235562500000,Async Serial,0xA1
1.952237750000000,Async Serial,0x41
1.952240000000000,Async Serial,0xA3
1.952242187500000,Async Serial,0x19
1.952244437500000,Async Serial,0xAC
1.952246625000000,Async Serial,0x3E
1.952248875000000,Async Serial,0x99
